trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",20,0,-169.8301337614423,"{0: 9, 1: 6, 2: 1, 3: 1, 4: 3}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",25,0,-111.65477226808454,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,0,-12.700379978073249,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",25,0,-161.037048191802,"{0: 15, 1: 5, 2: 1, 3: 1, 4: 3}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",20,0,-34.90131867872988,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",20,0,-100.48045638087794,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-121.99373652698637,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",1
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",30,0,-57.671430606503435,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",25,0,-59.859106325541354,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",20,0,-32.46058986420996,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",25,0,-56.76421883854445,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",20,0,-55.1417141319138,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",25,11,-59.84923763638807,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",20,0,19.53235524473556,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",25,1,38.51259049297198,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,0,-32.35639781935933,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",20,0,-15.911289527449519,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,7,-50.82364880490755,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,10,17.283399430668915,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",20,13,11.364276854906276,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",25,11,-19.63032458466148,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'e': 0, 'a': 0}",20,0,-17.52982979223828,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
3,True,"{'e': 0, 'a': 0}",25,18,11.591520486194291,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",25,0,24.526334439386105,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'e': 0, 'a': 0}",25,0,24.835556446262352,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",25,0,33.23531421532508,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'e': 0, 'a': 0}",25,20,9.855340051682013,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",25,18,10.528626667964517,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",20,8,-0.047345752933794616,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",20,1,-14.198257275583831,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
