trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.002}",25,0,-75.10210853312987,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
2,False,"{'e': 0.9980019986673331, 'a': 0.002}",20,0,-120.80563866537828,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,False,"{'e': 0.9960079893439915, 'a': 0.002}",20,0,-32.35050933647462,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
4,False,"{'e': 0.9940179640539353, 'a': 0.002}",20,0,-152.67322134489095,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
5,False,"{'e': 0.9920319148370607, 'a': 0.002}",20,0,-70.96143228379259,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
6,False,"{'e': 0.9900498337491681, 'a': 0.002}",25,0,-147.4440486246238,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
7,False,"{'e': 0.9880717128619305, 'a': 0.002}",20,9,-108.58092640572919,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 2}",1
8,False,"{'e': 0.9860975442628619, 'a': 0.002}",20,0,-43.622556321212706,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'e': 0.9841273200552851, 'a': 0.002}",20,0,-56.72846028948092,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'e': 0.9821610323583008, 'a': 0.002}",20,0,-33.3762674488755,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
11,False,"{'e': 0.9801986733067553, 'a': 0.002}",20,0,-198.91324194364364,"{0: 8, 1: 5, 2: 2, 3: 2, 4: 3}",0
12,False,"{'e': 0.97824023505121, 'a': 0.002}",25,0,-163.33646338390076,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
13,False,"{'e': 0.9762857097579093, 'a': 0.002}",20,7,-5.426416099852231,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
14,False,"{'e': 0.9743350896087494, 'a': 0.002}",30,0,-146.72859518463298,"{0: 15, 1: 8, 2: 5, 3: 0, 4: 2}",0
15,False,"{'e': 0.9723883668012469, 'a': 0.002}",25,0,-81.4591634799106,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
16,False,"{'e': 0.9704455335485082, 'a': 0.002}",25,0,-148.71772945524083,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
