trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-51.79518029832236,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
2,False,"{'e': 1.0, 'a': 0.5}",30,0,-46.62537303405519,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
3,False,"{'e': 1.0, 'a': 0.5}",30,0,-89.39479740020406,"{0: 20, 1: 6, 2: 2, 3: 1, 4: 1}",1
4,False,"{'e': 1.0, 'a': 0.5}",30,0,-222.88469061633805,"{0: 17, 1: 3, 2: 4, 3: 3, 4: 3}",0
5,False,"{'e': 1.0, 'a': 0.5}",20,0,-113.26236529330858,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
6,False,"{'e': 1.0, 'a': 0.5}",25,0,-132.76898551711693,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
7,False,"{'e': 1.0, 'a': 0.5}",25,0,-219.00522743598728,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
8,False,"{'e': 1.0, 'a': 0.5}",35,0,-166.9443504164361,"{0: 19, 1: 5, 2: 8, 3: 2, 4: 1}",0
9,False,"{'e': 1.0, 'a': 0.5}",20,0,-179.4773137935751,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
10,False,"{'e': 1.0, 'a': 0.5}",35,0,-123.21475030168025,"{0: 24, 1: 5, 2: 2, 3: 3, 4: 1}",0
11,False,"{'e': 1.0, 'a': 0.5}",20,0,-93.05678553008553,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
12,False,"{'e': 1.0, 'a': 0.5}",30,7,-171.06540454999998,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 3}",1
13,False,"{'e': 1.0, 'a': 0.5}",20,0,-189.20604201495672,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
14,False,"{'e': 1.0, 'a': 0.5}",25,0,-106.58514502891883,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
15,False,"{'e': 1.0, 'a': 0.5}",35,0,-121.99984520747384,"{0: 22, 1: 5, 2: 6, 3: 1, 4: 1}",0
16,False,"{'e': 1.0, 'a': 0.5}",20,0,-132.7336484567191,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
17,False,"{'e': 1.0, 'a': 0.5}",20,0,-237.35361813149578,"{0: 8, 1: 1, 2: 6, 3: 1, 4: 4}",0
18,False,"{'e': 1.0, 'a': 0.5}",30,0,-120.61327477242826,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
19,False,"{'e': 1.0, 'a': 0.5}",30,0,-126.45716545135319,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
20,False,"{'e': 1.0, 'a': 0.5}",25,0,-99.43018136431496,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
1,True,"{'e': 1.0, 'a': 0.5}",30,0,-128.27661594639008,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
2,True,"{'e': 1.0, 'a': 0.5}",20,0,-59.769095841913376,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
3,True,"{'e': 1.0, 'a': 0.5}",20,0,-114.63808790466396,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
4,True,"{'e': 1.0, 'a': 0.5}",20,0,-40.33943832128981,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
5,True,"{'e': 1.0, 'a': 0.5}",30,0,-188.3837319360098,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
6,True,"{'e': 1.0, 'a': 0.5}",20,0,-67.54656714851285,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
7,True,"{'e': 1.0, 'a': 0.5}",20,0,-170.75271893249067,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
8,True,"{'e': 1.0, 'a': 0.5}",20,6,-110.73069427028128,"{0: 7, 1: 0, 2: 4, 3: 2, 4: 1}",1
9,True,"{'e': 1.0, 'a': 0.5}",20,0,-101.50560953019725,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
10,True,"{'e': 1.0, 'a': 0.5}",25,0,-190.67357474925316,"{0: 10, 1: 5, 2: 6, 3: 2, 4: 2}",0
